2015-10-12 23:17:55,797 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:17:55,800 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:17:55,803 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:17:55,804 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:18:44,303 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:18:44,304 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:18:44,305 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:18:44,306 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:19:21,359 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:19:21,362 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:19:21,364 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:19:21,365 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:19:29,576 [Worker-438] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:19:29,577 [Worker-438] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:19:29,578 [Worker-438] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:19:29,578 [Worker-438] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:19:41,632 [Worker-452] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:19:41,633 [Worker-452] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:19:41,634 [Worker-452] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:19:41,634 [Worker-452] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:20:28,627 [Worker-453] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:20:28,628 [Worker-453] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:20:28,629 [Worker-453] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:20:28,630 [Worker-453] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:20:40,106 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:20:40,108 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:20:40,109 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:20:40,110 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:21:30,036 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:21:30,037 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:21:30,041 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:21:30,042 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:21:47,396 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:21:47,397 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:21:47,398 [Worker-454] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:21:47,399 [Worker-454] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:22,375 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:22:22,376 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:22,377 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:22:22,378 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:35,739 [Worker-438] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:22:35,740 [Worker-438] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:35,744 [Worker-438] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:22:35,745 [Worker-438] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:43,068 [Worker-453] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 23:22:43,069 [Worker-453] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 23:22:43,070 [Worker-453] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
